File Name,result0.01,result0.001,result0.01-2,result0.001-2
7ë²?4_Data_20240911_150829.csv,97.91023112,97.02815696,95.77781389,94.05035832
7ë²?5_Data_20240911_151514.csv,96.37977408,95.51148783,92.685666,91.01398064
7ë²?6_Data_20240913_110234.csv,97.29945842,96.42288672,94.54380374,92.83860488
7ë²?7_Data_20240913_111035.csv,98.12690816,97.24288196,96.21558996,94.48023864
8ë²?1_Data_20240911_161645.csv,97.22339255,96.34750613,94.39011963,92.68769263
8ë²?2_Data_20240911_162436.csv,96.39833129,95.52987786,92.72315914,91.05079755
8ë²?3_Data_20240911_163216.csv,96.74179757,95.87024984,93.41710121,91.73222363
8ë²?4_Data_20240911_163957.csv,95.82700137,94.96369505,91.56883951,89.91729731
8ë²?5_Data_20240911_164704.csv,97.92907602,97.04683209,95.81588829,94.08774601
8ë²?6_Data_20240912_183037.csv,98.13546913,97.25136581,96.23288662,94.49722333
8ë²?7_Data_20240912_183745.csv,97.81708854,96.93585351,95.58962786,93.86556644
9ë²?1_Data_20240911_195105.csv,97.13217368,96.25710905,94.20582028,92.50671731
9ë²?2_Data_20240911_200111.csv,96.63574651,95.7651542,93.20283479,91.52182174
9ë²?3_Data_20240911_200813.csv,96.42718227,95.55846891,92.78144989,91.10803696
9ë²?4_Data_20240911_201605.csv,96.81276196,95.94057492,93.56047825,91.87301472
9ë²?5_Data_20240911_202241.csv,97.02441282,96.15031901,93.98809937,92.29292323
9ë²?6_Data_20240913_113628.csv,96.90128345,96.02829891,93.73932778,92.0486385
9ë²?7_Data_20240913_114332.csv,96.79974973,95.92767991,93.53418822,91.84719886
